st_trend,dist_to_st,atr_pct,rsi,adx,bb_width,vol_ratio,label
1.0,4.31376066330633,1.2966634854671493,62.268037196339776,33.95229856920251,5.199586698597355,1.0995272271616228,0
1.0,0.9868802287422451,1.26660510570278,42.958434842151355,27.62584828519047,5.89603795805603,1.8558284137665602,1
1.0,1.437026037753348,1.256999085641932,46.03090145280723,28.475077103253803,5.749207500103934,1.118598662311113,1
1.0,1.1786255890108306,1.9093944636821378,45.71870448529076,25.51868244839238,6.54113158058586,1.6758230474806761,1
1.0,1.1040639370423264,1.7970978268735787,45.47665905887379,24.4675814954776,6.3383470319842745,1.2510702060105625,1
1.0,1.200484197775192,1.7108050990131611,45.875801565072685,23.607154087900323,6.135156086560582,0.963122890173186,1
1.0,0.4963077520976562,1.7041624474506343,43.39267384826634,23.25118694956444,6.072802761557865,0.9600653005783495,1
1.0,1.2869388431857764,1.680287128982285,46.872759440677534,22.38051641311083,5.7221281767610055,1.7559952424520886,1
1.0,0.7871524018625257,1.6435013381098436,44.98456232675712,21.57203662926105,5.704724109712757,0.8984818916351501,1
1.0,0.5077689409755495,1.6137686098194708,43.92762107442806,21.254321970877378,5.863321786225682,0.8780256883803086,1
1.0,1.2518357523268695,1.5541348287011068,47.48327736548535,20.486208447468496,5.914088667855163,0.5306615036517055,1
1.0,0.5165045606530727,1.0746594474895763,48.39318507703165,31.67333205559681,4.490595552335602,1.2253731283745704,0
1.0,0.1849974997723916,1.048244658155258,45.69992758966226,30.096121124152354,4.273430812318407,0.7824450007836176,0
1.0,1.1116384817439187,1.0290746049939106,53.531694660760216,29.125154066052993,3.9118266830490813,0.7468266972334671,0
1.0,0.7221944659835898,1.0085904627171571,50.23465162298602,28.26098779355746,3.3565139426055315,0.71045731656746,0
-1.0,4.095336801327479,1.1220194521896973,40.46085156226493,26.388840684411985,3.4483812408805936,1.5502943326842384,1
-1.0,0.4062263227529701,1.1948332821558565,60.08475505648085,27.94416483665088,3.8751223334787746,0.7690908382758446,0
-1.0,0.48543109653440897,1.21342029362218,59.51818066931426,27.154732814551654,4.4231743464907325,1.0617095575204112,0
1.0,4.444961128227739,1.3054722106342829,65.11451118949131,27.163701996740855,5.329078248231045,1.8325127151913254,0
1.0,0.6674978264580558,1.3431608762026521,44.05290854752373,20.774305214819083,6.5517142879109525,0.7653258608764207,0
1.0,0.6025349285439956,1.2822345640765036,43.74510711423073,20.24925600093885,6.2623490007295946,0.8274818654927114,0
1.0,0.8440387297983335,1.2241178898957827,45.278556362851816,19.542820376498906,5.9981059303520015,0.79983642224826,0
1.0,0.6542711746110146,1.1662104079617386,44.257143625282744,18.66722035796366,5.833582882236353,0.6364297277180043,0
-1.0,4.542326062307582,1.4671786884931546,42.01697920980729,17.03526014544847,5.25644446332995,1.412153527428062,1
